# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        C        M       T1       T2        B        V        R        I
 151     3700  5.00   -3.497   -1.644   -0.340    0.682   -2.665   -1.177   -0.235    0.658
 152     3700  5.50   -3.563   -1.643   -0.331    0.701   -2.695   -1.171   -0.222    0.677
 153     3800  5.00   -3.324   -1.516   -0.238    0.695   -2.512   -1.064   -0.151    0.672
 154     3800  5.50   -3.362   -1.520   -0.234    0.709   -2.536   -1.063   -0.143    0.687
 155     3500  0.00   -4.817   -2.377   -0.904    0.352   -3.656   -1.824   -0.765    0.323
 156     3500  0.50   -4.537   -2.316   -0.910    0.374   -3.500   -1.794   -0.764    0.343
 157     3500  1.00   -4.275   -2.260   -0.906    0.403   -3.355   -1.762   -0.753    0.371
 158     3500  1.50   -4.033   -2.200   -0.889    0.441   -3.215   -1.723   -0.731    0.408
 159     3500  2.00   -3.809   -2.133   -0.856    0.486   -3.078   -1.671   -0.694    0.453
 160     3500  2.50   -3.611   -2.057   -0.805    0.537   -2.945   -1.606   -0.644    0.503
 161     3500  3.00   -3.451   -1.973   -0.731    0.596   -2.828   -1.526   -0.573    0.563
 162     3500  3.50   -3.342   -1.881   -0.620    0.662   -2.737   -1.427   -0.473    0.630
 163     3500  4.00   -3.287   -1.801   -0.507    0.707   -2.676   -1.336   -0.377    0.676
 164     3500  4.50   -3.305   -1.766   -0.428    0.727   -2.670   -1.287   -0.313    0.698
 165     3500  5.00   -3.386   -1.771   -0.378    0.736   -2.709   -1.276   -0.275    0.708
 166     3750  0.00   -4.204   -1.764   -0.424    0.481   -3.005   -1.268   -0.349    0.459
 167     3750  0.50   -3.991   -1.727   -0.426    0.480   -2.895   -1.250   -0.350    0.458
 168     3750  1.00   -3.804   -1.705   -0.430    0.485   -2.807   -1.241   -0.353    0.463
 169     3750  1.50   -3.635   -1.689   -0.434    0.498   -2.731   -1.235   -0.354    0.474
 170     3750  2.00   -3.477   -1.670   -0.432    0.518   -2.655   -1.224   -0.349    0.494
 171     3750  2.50   -3.330   -1.644   -0.422    0.546   -2.577   -1.206   -0.336    0.521
 172     3750  3.00   -3.207   -1.613   -0.401    0.582   -2.506   -1.180   -0.312    0.556
 173     3750  3.50   -3.117   -1.577   -0.359    0.628   -2.450   -1.143   -0.270    0.603
 174     3750  4.00   -3.047   -1.531   -0.294    0.680   -2.405   -1.091   -0.209    0.654
 175     3750  4.50   -3.006   -1.492   -0.234    0.716   -2.372   -1.046   -0.154    0.691
 176     3750  5.00   -3.019   -1.480   -0.193    0.735   -2.375   -1.027   -0.118    0.711
 177     4000  0.00   -3.583   -1.333   -0.166    0.587   -2.487   -0.904   -0.112    0.569
 178     4000  0.50   -3.392   -1.296   -0.168    0.578   -2.385   -0.887   -0.115    0.560
 179     4000  1.00   -3.236   -1.279   -0.173    0.572   -2.314   -0.884   -0.119    0.554
 180     4000  1.50   -3.112   -1.277   -0.177    0.570   -2.263   -0.888   -0.123    0.551
 181     4000  2.00   -3.014   -1.281   -0.180    0.570   -2.226   -0.894   -0.126    0.551
 182     4000  2.50   -2.934   -1.287   -0.180    0.576   -2.196   -0.900   -0.125    0.557
 183     4000  3.00   -2.870   -1.290   -0.175    0.588   -2.169   -0.901   -0.119    0.568
 184     4000  3.50   -2.819   -1.288   -0.161    0.611   -2.144   -0.895   -0.105    0.591
 185     4000  4.00   -2.784   -1.282   -0.134    0.651   -2.131   -0.882   -0.076    0.630
 186     4000  4.50   -2.745   -1.266   -0.096    0.694   -2.115   -0.858   -0.038    0.674
 187     4000  5.00   -2.718   -1.250   -0.061    0.726   -2.101   -0.837   -0.005    0.706
 188     4250  0.00   -3.049   -1.033    0.008    0.665   -2.095   -0.651    0.051    0.650
 189     4250  0.50   -2.873   -0.994    0.003    0.652   -1.998   -0.633    0.045    0.637
 190     4250  1.00   -2.730   -0.973   -0.004    0.643   -1.928   -0.628    0.038    0.627
 191     4250  1.50   -2.617   -0.967   -0.011    0.637   -1.880   -0.631    0.031    0.620
 192     4250  2.00   -2.530   -0.970   -0.018    0.633   -1.847   -0.639    0.025    0.616
 193     4250  2.50   -2.466   -0.978   -0.022    0.630   -1.824   -0.650    0.021    0.614
 194     4250  3.00   -2.427   -0.990   -0.023    0.631   -1.811   -0.660    0.020    0.614
 195     4250  3.50   -2.411   -1.005   -0.020    0.634   -1.808   -0.670    0.022    0.618
 196     4250  4.00   -2.413   -1.020   -0.012    0.645   -1.813   -0.678    0.030    0.628
 197     4250  4.50   -2.426   -1.034    0.007    0.674   -1.829   -0.680    0.050    0.657
 198     4250  5.00   -2.425   -1.040    0.033    0.710   -1.840   -0.674    0.076    0.692
 199     4500  0.00   -2.597   -0.815    0.132    0.722   -1.784   -0.470    0.168    0.708
 200     4500  0.50   -2.446   -0.779    0.126    0.706   -1.699   -0.454    0.160    0.691
 201     4500  1.00   -2.324   -0.759    0.117    0.694   -1.638   -0.448    0.152    0.680
 202     4500  1.50   -2.228   -0.751    0.109    0.686   -1.595   -0.449    0.144    0.671
 203     4500  2.00   -2.153   -0.750    0.102    0.680   -1.565   -0.455    0.136    0.665
 204     4500  2.50   -2.098   -0.754    0.096    0.676   -1.544   -0.463    0.131    0.661
 205     4500  3.00   -2.059   -0.762    0.092    0.674   -1.529   -0.472    0.127    0.659
 206     4500  3.50   -2.041   -0.774    0.091    0.674   -1.523   -0.483    0.127    0.659
 207     4500  4.00   -2.043   -0.788    0.094    0.677   -1.526   -0.493    0.129    0.662
 208     4500  4.50   -2.062   -0.805    0.101    0.685   -1.537   -0.504    0.136    0.670
 209     4500  5.00   -2.093   -0.824    0.114    0.705   -1.559   -0.512    0.149    0.690
 210     4750  0.00   -2.181   -0.638    0.218    0.755   -1.504   -0.332    0.248    0.741
 211     4750  0.50   -2.057   -0.612    0.210    0.738   -1.438   -0.321    0.239    0.724
 212     4750  1.00   -1.956   -0.596    0.201    0.725   -1.389   -0.316    0.230    0.711
 213     4750  1.50   -1.878   -0.588    0.192    0.715   -1.355   -0.317    0.222    0.701
 214     4750  2.00   -1.819   -0.587    0.185    0.707   -1.331   -0.320    0.214    0.693
 215     4750  2.50   -1.776   -0.588    0.178    0.702   -1.315   -0.325    0.208    0.688
 216     4750  3.00   -1.745   -0.591    0.174    0.698   -1.303   -0.332    0.203    0.684
 217     4750  3.50   -1.729   -0.597    0.172    0.697   -1.296   -0.339    0.201    0.683
 218     4750  4.00   -1.728   -0.605    0.173    0.698   -1.294   -0.346    0.202    0.684
 219     4750  4.50   -1.739   -0.616    0.176    0.702   -1.298   -0.355    0.206    0.688
 220     4750  5.00   -1.767   -0.631    0.184    0.709   -1.310   -0.364    0.213    0.695
 221     5000  0.00   -1.786   -0.485    0.275    0.762   -1.237   -0.217    0.301    0.750
 222     5000  0.50   -1.692   -0.471    0.264    0.746   -1.193   -0.215    0.290    0.733
 223     5000  1.00   -1.613   -0.463    0.254    0.733   -1.160   -0.215    0.280    0.720
 224     5000  1.50   -1.551   -0.460    0.245    0.722   -1.137   -0.218    0.271    0.709
 225     5000  2.00   -1.505   -0.460    0.237    0.714   -1.122   -0.222    0.263    0.701
 226     5000  2.50   -1.473   -0.462    0.231    0.708   -1.113   -0.227    0.256    0.695
 227     5000  3.00   -1.452   -0.465    0.226    0.704   -1.107   -0.231    0.252    0.691
 228     5000  3.50   -1.443   -0.467    0.224    0.702   -1.104   -0.235    0.249    0.688
 229     5000  4.00   -1.445   -0.470    0.225    0.702   -1.103   -0.239    0.250    0.689
 230     5000  4.50   -1.457   -0.475    0.228    0.705   -1.105   -0.243    0.253    0.692
