# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        C        M       T1       T2        B        V        R        I
 381     9000  2.50   -0.031   -0.079   -0.071   -0.056   -0.051   -0.081   -0.072   -0.056
 382     9000  3.00   -0.060   -0.079   -0.068   -0.055   -0.062   -0.078   -0.069   -0.055
 383     9000  3.50   -0.097   -0.083   -0.064   -0.050   -0.086   -0.077   -0.064   -0.050
 384     9000  4.00   -0.136   -0.092   -0.061   -0.042   -0.120   -0.079   -0.061   -0.043
 385     9000  4.50   -0.175   -0.107   -0.061   -0.033   -0.161   -0.084   -0.059   -0.035
 386     9000  5.00   -0.209   -0.126   -0.059   -0.021   -0.209   -0.093   -0.057   -0.023
 387     9250  2.00   -0.041   -0.136   -0.124   -0.108   -0.104   -0.138   -0.126   -0.109
 388     9250  2.50   -0.048   -0.124   -0.123   -0.115   -0.088   -0.129   -0.125   -0.116
 389     9250  3.00   -0.073   -0.121   -0.121   -0.117   -0.094   -0.124   -0.122   -0.117
 390     9250  3.50   -0.107   -0.123   -0.118   -0.114   -0.113   -0.122   -0.118   -0.114
 391     9250  4.00   -0.145   -0.129   -0.114   -0.107   -0.142   -0.121   -0.114   -0.108
 392     9250  4.50   -0.183   -0.140   -0.112   -0.098   -0.178   -0.124   -0.111   -0.099
 393     9250  5.00   -0.218   -0.155   -0.111   -0.087   -0.222   -0.130   -0.109   -0.089
 394     9500  2.00   -0.065   -0.186   -0.176   -0.166   -0.151   -0.189   -0.179   -0.167
 395     9500  2.50   -0.069   -0.171   -0.176   -0.174   -0.129   -0.178   -0.178   -0.174
 396     9500  3.00   -0.090   -0.167   -0.174   -0.177   -0.130   -0.173   -0.176   -0.177
 397     9500  3.50   -0.122   -0.167   -0.172   -0.177   -0.145   -0.170   -0.173   -0.177
 398     9500  4.00   -0.158   -0.171   -0.169   -0.172   -0.170   -0.168   -0.169   -0.172
 399     9500  4.50   -0.196   -0.178   -0.165   -0.164   -0.203   -0.168   -0.165   -0.164
 400     9500  5.00   -0.233   -0.190   -0.163   -0.153   -0.243   -0.171   -0.162   -0.155
 401     9750  2.00   -0.091   -0.236   -0.229   -0.223   -0.198   -0.240   -0.231   -0.224
 402     9750  2.50   -0.093   -0.219   -0.228   -0.232   -0.173   -0.228   -0.231   -0.233
 403     9750  3.00   -0.112   -0.214   -0.228   -0.238   -0.170   -0.223   -0.230   -0.237
 404     9750  3.50   -0.141   -0.213   -0.227   -0.239   -0.182   -0.220   -0.228   -0.238
 405     9750  4.00   -0.176   -0.216   -0.224   -0.235   -0.204   -0.217   -0.224   -0.235
 406     9750  4.50   -0.214   -0.221   -0.221   -0.229   -0.233   -0.215   -0.220   -0.229
 407     9750  5.00   -0.250   -0.229   -0.218   -0.218   -0.269   -0.215   -0.216   -0.220
 408    10000  2.00   -0.118   -0.286   -0.281   -0.281   -0.245   -0.292   -0.284   -0.282
 409    10000  2.50   -0.119   -0.269   -0.281   -0.290   -0.218   -0.279   -0.284   -0.290
 410    10000  3.00   -0.136   -0.262   -0.282   -0.297   -0.213   -0.274   -0.284   -0.297
 411    10000  3.50   -0.164   -0.261   -0.281   -0.300   -0.222   -0.270   -0.283   -0.299
 412    10000  4.00   -0.197   -0.263   -0.279   -0.298   -0.241   -0.267   -0.280   -0.298
 413    10000  4.50   -0.233   -0.266   -0.276   -0.292   -0.267   -0.265   -0.276   -0.292
 414    10000  5.00   -0.269   -0.272   -0.272   -0.283   -0.300   -0.263   -0.271   -0.284
 415    10250  2.00   -0.145   -0.337   -0.334   -0.338   -0.292   -0.343   -0.337   -0.339
 416    10250  2.50   -0.146   -0.318   -0.333   -0.347   -0.263   -0.330   -0.337   -0.348
 417    10250  3.00   -0.163   -0.311   -0.335   -0.355   -0.257   -0.325   -0.338   -0.355
 418    10250  3.50   -0.188   -0.310   -0.336   -0.360   -0.264   -0.322   -0.338   -0.359
 419    10250  4.00   -0.220   -0.311   -0.335   -0.360   -0.280   -0.319   -0.336   -0.359
 420    10250  4.50   -0.255   -0.313   -0.332   -0.355   -0.303   -0.316   -0.332   -0.355
 421    10250  5.00   -0.290   -0.318   -0.328   -0.347   -0.334   -0.313   -0.328   -0.347
 422    10500  2.00   -0.173   -0.387   -0.386   -0.395   -0.339   -0.394   -0.390   -0.396
 423    10500  2.50   -0.174   -0.367   -0.386   -0.404   -0.309   -0.380   -0.389   -0.405
 424    10500  3.00   -0.190   -0.361   -0.388   -0.413   -0.302   -0.375   -0.391   -0.413
 425    10500  3.50   -0.215   -0.359   -0.390   -0.418   -0.308   -0.373   -0.392   -0.418
 426    10500  4.00   -0.245   -0.360   -0.390   -0.420   -0.322   -0.371   -0.392   -0.419
 427    10500  4.50   -0.278   -0.362   -0.387   -0.417   -0.343   -0.367   -0.388   -0.417
 428    10500  5.00   -0.314   -0.365   -0.384   -0.410   -0.370   -0.364   -0.384   -0.410
 429    10750  2.00   -0.202   -0.436   -0.439   -0.452   -0.386   -0.445   -0.443   -0.452
 430    10750  2.50   -0.203   -0.416   -0.438   -0.461   -0.355   -0.431   -0.441   -0.461
 431    10750  3.00   -0.219   -0.410   -0.441   -0.470   -0.347   -0.426   -0.444   -0.470
 432    10750  3.50   -0.243   -0.408   -0.443   -0.476   -0.352   -0.424   -0.446   -0.476
 433    10750  4.00   -0.272   -0.409   -0.444   -0.479   -0.365   -0.422   -0.446   -0.479
 434    10750  4.50   -0.304   -0.411   -0.443   -0.478   -0.384   -0.419   -0.444   -0.477
 435    10750  5.00   -0.339   -0.413   -0.440   -0.472   -0.409   -0.415   -0.440   -0.472
 436    11000  2.00   -0.231   -0.486   -0.491   -0.508   -0.433   -0.496   -0.495   -0.509
 437    11000  2.50   -0.233   -0.465   -0.490   -0.517   -0.401   -0.481   -0.494   -0.517
 438    11000  3.00   -0.248   -0.459   -0.493   -0.526   -0.393   -0.476   -0.496   -0.526
 439    11000  3.50   -0.272   -0.458   -0.496   -0.534   -0.397   -0.475   -0.499   -0.533
 440    11000  4.00   -0.300   -0.459   -0.498   -0.538   -0.408   -0.474   -0.500   -0.537
 441    11000  4.50   -0.331   -0.460   -0.498   -0.537   -0.426   -0.471   -0.499   -0.537
 442    11000  5.00   -0.364   -0.462   -0.495   -0.532   -0.449   -0.467   -0.496   -0.533
 443    11250  2.00   -0.262   -0.536   -0.544   -0.564   -0.480   -0.546   -0.548   -0.565
 444    11250  2.50   -0.263   -0.514   -0.542   -0.573   -0.447   -0.531   -0.546   -0.573
 445    11250  3.00   -0.279   -0.508   -0.545   -0.582   -0.439   -0.527   -0.549   -0.582
 446    11250  3.50   -0.302   -0.507   -0.549   -0.590   -0.442   -0.525   -0.552   -0.590
 447    11250  4.00   -0.329   -0.508   -0.551   -0.595   -0.453   -0.525   -0.554   -0.594
 448    11250  4.50   -0.359   -0.509   -0.552   -0.596   -0.469   -0.523   -0.554   -0.595
 449    11250  5.00   -0.391   -0.511   -0.550   -0.592   -0.491   -0.519   -0.551   -0.592
 450    11500  2.00   -0.293   -0.585   -0.596   -0.621   -0.526   -0.597   -0.600   -0.621
 451    11500  2.50   -0.294   -0.563   -0.594   -0.628   -0.493   -0.581   -0.598   -0.628
 452    11500  3.00   -0.309   -0.556   -0.597   -0.638   -0.484   -0.576   -0.601   -0.637
 453    11500  3.50   -0.332   -0.555   -0.601   -0.646   -0.487   -0.576   -0.604   -0.645
 454    11500  4.00   -0.359   -0.557   -0.604   -0.652   -0.497   -0.575   -0.607   -0.651
 455    11500  4.50   -0.388   -0.559   -0.605   -0.653   -0.513   -0.574   -0.608   -0.653
 456    11500  5.00   -0.419   -0.560   -0.604   -0.651   -0.533   -0.571   -0.606   -0.651
 457    11750  2.00   -0.324   -0.634   -0.648   -0.676   -0.572   -0.647   -0.653   -0.677
 458    11750  2.50   -0.325   -0.611   -0.645   -0.683   -0.538   -0.630   -0.649   -0.683
 459    11750  3.00   -0.340   -0.605   -0.648   -0.693   -0.529   -0.626   -0.652   -0.692
 460    11750  3.50   -0.363   -0.604   -0.652   -0.701   -0.532   -0.625   -0.656   -0.701
 461    11750  4.00   -0.390   -0.605   -0.656   -0.707   -0.542   -0.625   -0.659   -0.707
 462    11750  4.50   -0.419   -0.607   -0.658   -0.710   -0.557   -0.625   -0.661   -0.709
 463    11750  5.00   -0.449   -0.609   -0.658   -0.708   -0.576   -0.622   -0.659   -0.708
 464    12000  2.50   -0.357   -0.659   -0.696   -0.738   -0.583   -0.680   -0.701   -0.738
 465    12000  3.00   -0.372   -0.653   -0.699   -0.747   -0.574   -0.675   -0.703   -0.747
 466    12000  3.50   -0.395   -0.652   -0.704   -0.756   -0.577   -0.675   -0.707   -0.755
 467    12000  4.00   -0.421   -0.654   -0.708   -0.762   -0.587   -0.675   -0.711   -0.762
 468    12000  4.50   -0.449   -0.656   -0.710   -0.766   -0.601   -0.675   -0.713   -0.765
 469    12000  5.00   -0.478   -0.658   -0.711   -0.765   -0.619   -0.673   -0.713   -0.765
 470    12250  2.50   -0.389   -0.707   -0.747   -0.792   -0.628   -0.728   -0.751   -0.792
 471    12250  3.00   -0.404   -0.700   -0.750   -0.801   -0.619   -0.724   -0.754   -0.801
 472    12250  3.50   -0.426   -0.700   -0.754   -0.810   -0.622   -0.724   -0.758   -0.809
 473    12250  4.00   -0.452   -0.701   -0.759   -0.817   -0.631   -0.724   -0.762   -0.816
 474    12250  4.50   -0.480   -0.704   -0.762   -0.821   -0.645   -0.724   -0.765   -0.820
 475    12250  5.00   -0.509   -0.706   -0.763   -0.821   -0.663   -0.723   -0.765   -0.821
 476    12500  2.50   -0.421   -0.754   -0.797   -0.846   -0.673   -0.777   -0.802   -0.846
 477    12500  3.00   -0.436   -0.748   -0.800   -0.855   -0.663   -0.772   -0.805   -0.854
 478    12500  3.50   -0.458   -0.747   -0.805   -0.863   -0.666   -0.772   -0.809   -0.863
 479    12500  4.00   -0.484   -0.749   -0.809   -0.870   -0.675   -0.773   -0.813   -0.870
 480    12500  4.50   -0.511   -0.751   -0.812   -0.875   -0.689   -0.773   -0.816   -0.874
 481    12500  5.00   -0.539   -0.754   -0.814   -0.876   -0.706   -0.772   -0.816   -0.875
 482    12750  2.50   -0.453   -0.801   -0.847   -0.899   -0.717   -0.824   -0.852   -0.899
 483    12750  3.00   -0.469   -0.794   -0.850   -0.908   -0.707   -0.820   -0.855   -0.907
 484    12750  3.50   -0.491   -0.794   -0.854   -0.916   -0.710   -0.820   -0.859   -0.916
 485    12750  4.00   -0.516   -0.796   -0.859   -0.923   -0.719   -0.821   -0.863   -0.923
 486    12750  4.50   -0.543   -0.798   -0.862   -0.928   -0.732   -0.822   -0.866   -0.927
 487    12750  5.00   -0.570   -0.801   -0.864   -0.929   -0.749   -0.821   -0.867   -0.929
 488    13000  2.50   -0.485   -0.847   -0.896   -0.951   -0.760   -0.872   -0.901   -0.951
 489    13000  3.00   -0.501   -0.841   -0.899   -0.960   -0.751   -0.868   -0.904   -0.960
 490    13000  3.50   -0.523   -0.840   -0.904   -0.969   -0.754   -0.868   -0.908   -0.968
 491    13000  4.00   -0.548   -0.842   -0.908   -0.976   -0.762   -0.869   -0.912   -0.975
 492    13000  4.50   -0.574   -0.845   -0.912   -0.981   -0.776   -0.870   -0.916   -0.980
 493    13000  5.00   -0.601   -0.848   -0.914   -0.982   -0.792   -0.869   -0.917   -0.982
 494    14000  2.00   -0.605   -1.047   -1.086   -1.143   -0.966   -1.069   -1.092   -1.144
 495    14000  2.50   -0.612   -1.024   -1.085   -1.153   -0.927   -1.053   -1.091   -1.153
 496    14000  3.00   -0.630   -1.020   -1.091   -1.164   -0.920   -1.052   -1.096   -1.163
 497    14000  3.50   -0.652   -1.021   -1.096   -1.173   -0.924   -1.053   -1.101   -1.172
 498    14000  4.00   -0.676   -1.024   -1.101   -1.179   -0.932   -1.055   -1.105   -1.178
 499    14000  4.50   -0.701   -1.026   -1.104   -1.184   -0.945   -1.055   -1.108   -1.183
 500    14000  5.00   -0.726   -1.029   -1.107   -1.187   -0.960   -1.055   -1.110   -1.186
 501    15000  2.50   -0.732   -1.190   -1.262   -1.342   -1.085   -1.223   -1.268   -1.341
 502    15000  3.00   -0.755   -1.190   -1.271   -1.355   -1.080   -1.225   -1.277   -1.355
 503    15000  3.50   -0.779   -1.193   -1.279   -1.366   -1.085   -1.229   -1.284   -1.364
 504    15000  4.00   -0.803   -1.196   -1.284   -1.373   -1.095   -1.231   -1.289   -1.371
 505    15000  4.50   -0.826   -1.199   -1.287   -1.377   -1.107   -1.232   -1.292   -1.376
 506    15000  5.00   -0.849   -1.201   -1.290   -1.380   -1.121   -1.232   -1.294   -1.379
 507    16000  2.50   -0.844   -1.345   -1.427   -1.517   -1.231   -1.381   -1.434   -1.516
 508    16000  3.00   -0.873   -1.348   -1.440   -1.535   -1.230   -1.388   -1.446   -1.534
 509    16000  3.50   -0.901   -1.354   -1.450   -1.547   -1.238   -1.394   -1.456   -1.546
 510    16000  4.00   -0.925   -1.360   -1.457   -1.556   -1.249   -1.399   -1.463   -1.554
 511    16000  4.50   -0.948   -1.363   -1.462   -1.560   -1.261   -1.401   -1.467   -1.559
 512    16000  5.00   -0.970   -1.366   -1.464   -1.563   -1.275   -1.401   -1.469   -1.562
 513    17000  2.50   -0.948   -1.489   -1.580   -1.679   -1.368   -1.528   -1.586   -1.678
 514    17000  3.00   -0.983   -1.496   -1.598   -1.702   -1.369   -1.539   -1.604   -1.701
 515    17000  3.50   -1.015   -1.506   -1.612   -1.718   -1.381   -1.549   -1.618   -1.716
 516    17000  4.00   -1.043   -1.514   -1.621   -1.728   -1.394   -1.556   -1.627   -1.726
 517    17000  4.50   -1.066   -1.519   -1.626   -1.734   -1.407   -1.560   -1.632   -1.732
 518    17000  5.00   -1.087   -1.522   -1.629   -1.736   -1.421   -1.560   -1.634   -1.735
 519    18000  2.50   -1.044   -1.623   -1.721   -1.828   -1.497   -1.665   -1.728   -1.827
 520    18000  3.00   -1.086   -1.634   -1.745   -1.857   -1.500   -1.680   -1.751   -1.856
 521    18000  3.50   -1.123   -1.648   -1.763   -1.877   -1.515   -1.694   -1.769   -1.875
 522    18000  4.00   -1.153   -1.658   -1.774   -1.890   -1.531   -1.704   -1.781   -1.888
 523    18000  4.50   -1.178   -1.665   -1.781   -1.897   -1.545   -1.709   -1.787   -1.895
 524    18000  5.00   -1.199   -1.669   -1.785   -1.900   -1.560   -1.711   -1.791   -1.899
 525    19000  2.50   -1.133   -1.748   -1.851   -1.965   -1.618   -1.791   -1.858   -1.964
 526    19000  3.00   -1.181   -1.762   -1.881   -2.002   -1.622   -1.811   -1.888   -2.000
 527    19000  3.50   -1.223   -1.780   -1.904   -2.026   -1.640   -1.830   -1.910   -2.024
 528    19000  4.00   -1.257   -1.794   -1.919   -2.041   -1.659   -1.843   -1.925   -2.040
 529    19000  4.50   -1.284   -1.803   -1.928   -2.050   -1.676   -1.851   -1.934   -2.049
 530    19000  5.00   -1.306   -1.808   -1.933   -2.055   -1.691   -1.854   -1.938   -2.053
 531    20000  3.00   -1.270   -1.882   -2.008   -2.136   -1.736   -1.933   -2.015   -2.134
 532    20000  3.50   -1.317   -1.905   -2.035   -2.165   -1.758   -1.957   -2.043   -2.164
 533    20000  4.00   -1.355   -1.922   -2.054   -2.184   -1.779   -1.973   -2.061   -2.182
 534    20000  4.50   -1.384   -1.933   -2.065   -2.195   -1.798   -1.983   -2.072   -2.193
 535    20000  5.00   -1.407   -1.940   -2.072   -2.201   -1.815   -1.988   -2.078   -2.199
 536    21000  3.00   -1.353   -1.994   -2.125   -2.260   -1.843   -2.047   -2.133   -2.258
 537    21000  3.50   -1.406   -2.021   -2.159   -2.296   -1.868   -2.076   -2.166   -2.294
 538    21000  4.00   -1.447   -2.041   -2.181   -2.318   -1.893   -2.096   -2.188   -2.316
 539    21000  4.50   -1.478   -2.055   -2.195   -2.331   -1.913   -2.108   -2.201   -2.329
 540    21000  5.00   -1.503   -2.064   -2.203   -2.338   -1.931   -2.115   -2.209   -2.337
 541    22000  3.00   -1.431   -2.099   -2.236   -2.376   -1.944   -2.154   -2.244   -2.374
 542    22000  3.50   -1.488   -2.130   -2.274   -2.417   -1.972   -2.187   -2.282   -2.415
 543    22000  4.00   -1.533   -2.154   -2.300   -2.444   -1.999   -2.211   -2.307   -2.442
 544    22000  4.50   -1.567   -2.170   -2.317   -2.459   -2.022   -2.226   -2.324   -2.457
 545    22000  5.00   -1.593   -2.181   -2.327   -2.468   -2.041   -2.235   -2.333   -2.466
 546    23000  3.00   -1.505   -2.199   -2.340   -2.485   -2.039   -2.256   -2.348   -2.483
 547    23000  3.50   -1.566   -2.232   -2.382   -2.531   -2.070   -2.292   -2.390   -2.529
 548    23000  4.00   -1.615   -2.260   -2.412   -2.562   -2.100   -2.319   -2.420   -2.559
 549    23000  4.50   -1.651   -2.279   -2.432   -2.580   -2.125   -2.337   -2.439   -2.578
 550    23000  5.00   -1.679   -2.291   -2.443   -2.591   -2.145   -2.347   -2.450   -2.589
 551    24000  3.00   -1.575   -2.292   -2.439   -2.588   -2.128   -2.351   -2.447   -2.586
 552    24000  3.50   -1.640   -2.330   -2.485   -2.639   -2.162   -2.391   -2.493   -2.636
 553    24000  4.00   -1.691   -2.359   -2.518   -2.673   -2.194   -2.421   -2.525   -2.670
 554    24000  4.50   -1.730   -2.381   -2.540   -2.694   -2.221   -2.441   -2.547   -2.692
 555    24000  5.00   -1.760   -2.395   -2.554   -2.707   -2.243   -2.454   -2.561   -2.705
 556    25000  3.00   -1.636   -2.377   -2.527   -2.682   -2.208   -2.437   -2.536   -2.679
 557    25000  3.50   -1.711   -2.422   -2.582   -2.741   -2.250   -2.485   -2.590   -2.738
 558    25000  4.00   -1.764   -2.454   -2.617   -2.777   -2.284   -2.517   -2.625   -2.775
 559    25000  4.50   -1.805   -2.477   -2.642   -2.802   -2.312   -2.540   -2.649   -2.799
 560    25000  5.00   -1.836   -2.493   -2.658   -2.817   -2.336   -2.554   -2.665   -2.814
 561    26000  3.00   -1.691   -2.452   -2.605   -2.762   -2.282   -2.513   -2.614   -2.760
 562    26000  3.50   -1.777   -2.508   -2.674   -2.838   -2.331   -2.573   -2.682   -2.835
 563    26000  4.00   -1.834   -2.544   -2.712   -2.877   -2.369   -2.609   -2.720   -2.874
 564    26000  4.50   -1.876   -2.569   -2.738   -2.903   -2.399   -2.633   -2.746   -2.901
 565    26000  5.00   -1.907   -2.586   -2.756   -2.920   -2.423   -2.649   -2.763   -2.918
 566    27000  3.50   -1.836   -2.586   -2.758   -2.927   -2.404   -2.653   -2.766   -2.924
 567    27000  4.00   -1.899   -2.628   -2.802   -2.972   -2.448   -2.695   -2.810   -2.969
 568    27000  4.50   -1.942   -2.655   -2.830   -2.999   -2.480   -2.721   -2.838   -2.997
 569    27000  5.00   -1.975   -2.673   -2.848   -3.017   -2.505   -2.738   -2.856   -3.015
 570    28000  3.50   -1.888   -2.657   -2.833   -3.007   -2.471   -2.726   -2.842   -3.004
 571    28000  4.00   -1.959   -2.706   -2.886   -3.060   -2.521   -2.775   -2.894   -3.058
 572    28000  4.50   -2.005   -2.736   -2.916   -3.090   -2.556   -2.804   -2.924   -3.088
 573    28000  5.00   -2.038   -2.756   -2.936   -3.109   -2.582   -2.822   -2.943   -3.107
 574    29000  3.50   -1.937   -2.724   -2.902   -3.079   -2.534   -2.794   -2.912   -3.076
 575    29000  4.00   -2.012   -2.778   -2.962   -3.142   -2.588   -2.848   -2.971   -3.139
 576    29000  4.50   -2.063   -2.812   -2.997   -3.176   -2.627   -2.882   -3.005   -3.173
 577    29000  5.00   -2.097   -2.833   -3.018   -3.196   -2.654   -2.902   -3.026   -3.193
 578    30000  3.50   -1.989   -2.791   -2.970   -3.148   -2.599   -2.861   -2.980   -3.145
 579    30000  4.00   -2.061   -2.843   -3.033   -3.216   -2.649   -2.916   -3.042   -3.213
 580    30000  4.50   -2.116   -2.882   -3.072   -3.255   -2.692   -2.954   -3.080   -3.252
 581    30000  5.00   -2.152   -2.905   -3.095   -3.277   -2.722   -2.976   -3.103   -3.274
 582    31000  3.50   -2.049   -2.862   -3.040   -3.219   -2.669   -2.933   -3.051   -3.216
 583    31000  4.00   -2.109   -2.907   -3.099   -3.285   -2.709   -2.981   -3.109   -3.282
 584    31000  4.50   -2.165   -2.947   -3.141   -3.328   -2.752   -3.020   -3.150   -3.325
 585    31000  5.00   -2.203   -2.972   -3.167   -3.353   -2.784   -3.045   -3.175   -3.350
 586    32000  4.00   -2.158   -2.970   -3.164   -3.352   -2.769   -3.045   -3.174   -3.349
 587    32000  4.50   -2.212   -3.009   -3.207   -3.397   -2.810   -3.084   -3.216   -3.394
 588    32000  5.00   -2.251   -3.036   -3.235   -3.424   -2.843   -3.110   -3.243   -3.421
 589    33000  4.00   -2.214   -3.036   -3.231   -3.421   -2.833   -3.113   -3.242   -3.418
 590    33000  4.50   -2.259   -3.070   -3.271   -3.463   -2.868   -3.147   -3.280   -3.460
 591    33000  5.00   -2.298   -3.097   -3.299   -3.492   -2.900   -3.173   -3.308   -3.489
 592    34000  4.00   -2.275   -3.106   -3.300   -3.492   -2.902   -3.184   -3.313   -3.488
 593    34000  4.50   -2.310   -3.132   -3.335   -3.530   -2.928   -3.211   -3.346   -3.527
 594    34000  5.00   -2.345   -3.157   -3.362   -3.557   -2.956   -3.235   -3.372   -3.554
 595    35000  4.00   -2.342   -3.180   -3.374   -3.565   -2.974   -3.258   -3.387   -3.562
 596    35000  4.50   -2.366   -3.198   -3.401   -3.597   -2.991   -3.277   -3.413   -3.594
 597    35000  5.00   -2.395   -3.219   -3.426   -3.623   -3.015   -3.298   -3.436   -3.620
 598    36000  4.00   -2.413   -3.257   -3.450   -3.642   -3.051   -3.337   -3.465   -3.639
 599    36000  4.50   -2.427   -3.266   -3.470   -3.667   -3.057   -3.347   -3.483   -3.663
 600    36000  5.00   -2.450   -3.283   -3.491   -3.689   -3.076   -3.363   -3.502   -3.686
 601    37000  4.00   -2.488   -3.337   -3.530   -3.722   -3.129   -3.417   -3.545   -3.719
 602    37000  4.50   -2.492   -3.338   -3.541   -3.739   -3.127   -3.420   -3.555   -3.735
 603    37000  5.00   -2.509   -3.349   -3.558   -3.757   -3.140   -3.431   -3.570   -3.754
 604    38000  4.00   -2.565   -3.418   -3.611   -3.804   -3.209   -3.499   -3.627   -3.800
 605    38000  4.50   -2.562   -3.412   -3.615   -3.814   -3.200   -3.495   -3.631   -3.810
 606    38000  5.00   -2.571   -3.418   -3.627   -3.827   -3.207   -3.501   -3.640   -3.823
 607    39000  4.00   -2.641   -3.498   -3.692   -3.886   -3.288   -3.579   -3.708   -3.882
 608    39000  4.50   -2.633   -3.489   -3.692   -3.891   -3.275   -3.572   -3.708   -3.887
 609    39000  5.00   -2.637   -3.490   -3.698   -3.899   -3.277   -3.573   -3.713   -3.895
 610    40000  4.50   -2.706   -3.566   -3.769   -3.969   -3.351   -3.650   -3.786   -3.965
 611    40000  5.00   -2.706   -3.563   -3.772   -3.974   -3.349   -3.648   -3.788   -3.970
 612    41000  4.50   -2.779   -3.642   -3.847   -4.048   -3.426   -3.727   -3.864   -4.043
 613    41000  5.00   -2.777   -3.638   -3.847   -4.050   -3.422   -3.723   -3.863   -4.045
 614    42000  4.50   -2.851   -3.718   -3.923   -4.125   -3.500   -3.803   -3.941   -4.121
 615    42000  5.00   -2.848   -3.712   -3.922   -4.126   -3.495   -3.799   -3.939   -4.121
 616    43000  4.50   -2.921   -3.792   -3.998   -4.201   -3.573   -3.878   -4.016   -4.197
 617    43000  5.00   -2.918   -3.786   -3.997   -4.202   -3.568   -3.873   -4.015   -4.197
 618    44000  4.50   -2.991   -3.864   -4.072   -4.275   -3.645   -3.951   -4.089   -4.271
 619    44000  5.00   -2.988   -3.859   -4.071   -4.277   -3.640   -3.947   -4.089   -4.272
 620    45000  4.50   -3.058   -3.935   -4.143   -4.348   -3.715   -4.022   -4.161   -4.343
 621    45000  5.00   -3.057   -3.931   -4.144   -4.350   -3.711   -4.019   -4.162   -4.346
 622    46000  4.50   -3.125   -4.005   -4.214   -4.419   -3.783   -4.092   -4.231   -4.414
 623    46000  5.00   -3.124   -4.001   -4.215   -4.422   -3.780   -4.090   -4.233   -4.418
 624    47000  4.50   -3.190   -4.073   -4.283   -4.489   -3.851   -4.160   -4.300   -4.484
 625    47000  5.00   -3.190   -4.070   -4.285   -4.493   -3.848   -4.160   -4.303   -4.488
 626    48000  4.50   -3.254   -4.140   -4.350   -4.557   -3.917   -4.227   -4.367   -4.552
 627    48000  5.00   -3.255   -4.138   -4.353   -4.562   -3.914   -4.227   -4.371   -4.557
 628    49000  4.50   -3.317   -4.205   -4.416   -4.623   -3.981   -4.293   -4.433   -4.619
 629    49000  5.00   -3.318   -4.204   -4.420   -4.630   -3.980   -4.294   -4.438   -4.625
 630    50000  5.00   -3.381   -4.269   -4.486   -4.696   -4.044   -4.359   -4.504   -4.691
 631    56101  5.00   -3.508   -4.413   -4.613   -4.805   -4.192   -4.493   -4.622   -4.802
 632    62946  5.00   -3.838   -4.755   -4.963   -5.160   -4.529   -4.838   -4.972   -5.157
 633    70627  5.00   -4.173   -5.101   -5.316   -5.517   -4.870   -5.186   -5.325   -5.514
 634    79245  5.00   -4.514   -5.451   -5.671   -5.877   -5.215   -5.538   -5.680   -5.873
 635    88914  5.00   -4.858   -5.804   -6.028   -6.238   -5.564   -5.892   -6.037   -6.235
 636    99763  5.00   -5.206   -6.159   -6.388   -6.600   -5.915   -6.249   -6.397   -6.597
 637   111936  5.00   -5.556   -6.516   -6.749   -6.965   -6.269   -6.607   -6.758   -6.961
 638   125595  5.00   -5.910   -6.875   -7.111   -7.330   -6.626   -6.968   -7.120   -7.326
 639   140920  5.00   -6.266   -7.236   -7.475   -7.696   -6.985   -7.330   -7.484   -7.693
 640   158115  5.00   -6.624   -7.599   -7.841   -8.064   -7.345   -7.693   -7.850   -8.060
 641   177407  5.00   -6.985   -7.963   -8.207   -8.432   -7.707   -8.058   -8.216   -8.428
 642   199055  5.00   -7.346   -8.328   -8.574   -8.801   -8.071   -8.424   -8.583   -8.797
 643   223343  5.00   -7.710   -8.694   -8.943   -9.170   -8.436   -8.791   -8.952   -9.167
 644   250595  5.00   -8.074   -9.062   -9.311   -9.540   -8.802   -9.159   -9.321   -9.537
 645   281172  5.00   -8.440   -9.430   -9.681   -9.911   -9.169   -9.528   -9.690   -9.907
 646   315481  5.00   -8.807   -9.799  -10.051  -10.282   -9.536   -9.897  -10.060  -10.279
 647   353975  5.00   -9.174  -10.168  -10.422  -10.654   -9.905  -10.267  -10.431  -10.650
 648   397167  5.00   -9.543  -10.539  -10.793  -11.026  -10.274  -10.638  -10.802  -11.022
 649   445629  5.00   -9.912  -10.909  -11.165  -11.398  -10.644  -11.009  -11.174  -11.394
 650   500004  5.00  -10.282  -11.280  -11.537  -11.771  -11.015  -11.380  -11.546  -11.767
 651   561014  5.00  -10.652  -11.652  -11.909  -12.144  -11.386  -11.752  -11.918  -12.140
 652   629469  5.00  -11.023  -12.024  -12.282  -12.517  -11.757  -12.124  -12.291  -12.513
 653   706276  5.00  -11.394  -12.396  -12.654  -12.890  -12.129  -12.497  -12.664  -12.886
 654   792455  5.00  -11.766  -12.769  -13.028  -13.264  -12.501  -12.869  -13.037  -13.260
 655   889149  5.00  -12.138  -13.142  -13.401  -13.637  -12.874  -13.242  -13.410  -13.633
 656   997642  5.00  -12.511  -13.515  -13.774  -14.011  -13.247  -13.616  -13.784  -14.007
 657  1119373  5.00  -12.884  -13.888  -14.148  -14.385  -13.620  -13.989  -14.157  -14.381
 658  1255958  5.00  -13.256  -14.262  -14.522  -14.759  -13.993  -14.363  -14.531  -14.755
